basements,category_code,central_air,depth,exempt_building,exempt_land,exterior_condition,fireplaces,frontage,garage_spaces,general_construction,homestead_exemption,interior_condition,market_value,number_of_bathrooms,number_of_bedrooms,number_stories,off_street_open,parcel_shape,street_code,taxable_land,total_area,total_livable_area,type_heater,view_type,year_built,zip_code
9,1,0,68.0,80000.0,0.0,4,0,16.0,0.0,7,80000,4,588100.0,1.0,0.0,3.0,409.0,4,3100,176400.0,1054.0,2448.0,6,6,1920.0,19147.0
3,0,0,100.0,80000.0,0.0,3,0,26.0,0.0,7,80000,4,207400.0,0.0,0.0,2.0,1587.0,4,1050,41480.0,2554.0,1166.0,6,6,1950.0,19152.0
3,0,0,75.0,88700.0,0.0,4,0,38.0,2.0,7,0,4,186200.0,0.0,0.0,3.0,1113.0,4,865,37200.0,2850.0,1455.0,6,6,1875.0,19125.0
11,0,0,100.0,0.0,0.0,4,0,16.0,0.0,7,0,4,87500.0,1.0,4.0,2.0,1033.0,4,2757,17500.0,1601.0,1592.0,6,6,1925.0,19131.0
3,0,0,113.0,80000.0,0.0,4,0,16.0,0.0,7,80000,4,178800.0,1.0,3.0,1.0,2900.0,0,2827,35760.0,1833.0,1462.0,1,6,1939.0,19111.0
10,0,1,170.0,80000.0,0.0,4,0,29.0,1.0,7,80000,4,317100.0,1.0,4.0,2.0,7309.0,4,2504,63420.0,4930.0,2120.0,6,6,1987.0,19116.0
11,0,0,70.0,0.0,0.0,4,0,16.0,0.0,7,0,4,87300.0,1.0,3.0,2.0,3436.0,4,3220,17400.0,1112.0,960.0,6,6,1920.0,19142.0
3,0,0,48.0,0.0,0.0,4,0,14.0,0.0,7,0,4,168800.0,1.0,3.0,2.0,1144.0,4,954,33760.0,672.0,980.0,6,6,1920.0,19148.0
11,0,1,0.0,231500.0,0.0,3,0,0.0,0.0,7,0,4,300500.0,1.0,0.0,1.0,770.0,4,3084,45100.0,0.0,1050.0,0,6,1900.0,19123.0
11,0,1,0.0,0.0,0.0,3,0,0.0,1.0,7,0,3,494400.0,0.0,2.0,1.0,2709.0,4,533,49400.0,0.0,1304.0,6,6,1995.0,19147.0
2,0,0,53.0,0.0,0.0,4,0,18.0,0.0,7,0,4,29500.0,1.0,3.0,2.0,2467.0,4,1099,5900.0,945.0,1044.0,0,6,1920.0,19142.0
2,0,0,55.0,80000.0,0.0,4,0,14.0,0.0,8,80000,4,172500.0,1.0,3.0,2.0,1032.0,4,3085,34500.0,765.0,992.0,0,6,1920.0,19148.0
6,0,0,90.0,0.0,0.0,4,0,15.0,1.0,7,0,4,133800.0,1.0,3.0,2.0,2085.0,4,784,26760.0,1350.0,1200.0,6,6,1935.0,19135.0
3,0,1,55.0,80000.0,0.0,4,0,14.0,0.0,7,80000,3,210100.0,1.0,2.0,2.0,1674.0,4,1653,42000.0,784.0,938.0,1,6,1920.0,19134.0
