basements,building_code_description,category_code,central_air,depth,exempt_building,exempt_land,exterior_condition,fireplaces,frontage,garage_spaces,general_construction,homestead_exemption,interior_condition,market_value,number_of_bathrooms,number_of_bedrooms,number_stories,off_street_open,parcel_shape,quality_grade,street_code,taxable_building,taxable_land,total_area,total_livable_area,type_heater,view_type,year_built,zip_code,zoning,pin,building_code_new,building_code_description_new,lat,lng
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,,,,19400.0,0.0,0.0,,,,,,19130.0,RSA5,1001108572,,,39.97057042269128,-75.18014668288639
,VACANT LAND RESIDE < ACRE,6,,73.0,0.0,0.0,,,28.0,,,0,,0.0,,,,,A,,88270.0,0.0,0.0,3490.0,,,,,19103.0,CMX3,1001641369,,,39.94965231534875,-75.17961961887741
,VACANT LAND RESIDE < ACRE,6,,141.0,0.0,0.0,,,24.0,,,0,,0.0,,,,513.0,A,,38420.0,0.0,0.0,3390.0,,,,,19123.0,RSA5,1001252983,,,39.961784156472135,-75.14348540526684
,VACANT LAND RESIDE < ACRE,6,,80.0,0.0,0.0,,,20.0,,,0,,0.0,,,,3962.0,E,,36460.0,0.0,0.0,1600.0,,,,,19145.0,RM1,1001234968,,,39.91002669179281,-75.18050370692295
,VACANT LAND RESIDE < ACRE,6,,105.0,0.0,0.0,,,7.0,,,0,,0.0,,,,541.0,E,,12440.0,0.0,0.0,753.0,,,,,19123.0,RSA5,1001064001,,,39.96523713006694,-75.1416109362951
,VACANT LAND RESIDE < ACRE,6,,108.0,0.0,0.0,,,95.0,,,0,,0.0,,,,541.0,E,,12440.0,0.0,0.0,10313.0,,,,,19123.0,RSA5,1001064000,,,39.96504725286015,-75.14172285488517
,VACANT LAND RESIDE ACRE+,6,,701.0,0.0,0.0,,,249.0,,,0,,0.0,,,,1615.0,A,,63020.0,0.0,0.0,91741.0,,,I,,19128.0,RSA5,1001411265,,,40.03608386137353,-75.23423596502369
,VACANT LAND RESIDE < ACRE,6,,125.0,0.0,0.0,,,20.0,,,0,,0.0,,,,217.0,E,,15460.0,0.0,0.0,2500.0,,,,,19147.0,CMX2,1001078261,,,39.941267005160064,-75.15171572535678
,VACANT LAND RESIDE < ACRE,6,,140.0,0.0,0.0,,,24.0,,,0,,0.0,,,,72.0,E,,35220.0,0.0,0.0,3430.0,,,,,19106.0,CMX3,1001230271,,,39.948884609675055,-75.14276353877183
,VACANT LAND RESIDE < ACRE,6,,200.0,0.0,0.0,,,20.0,,,0,,0.0,,,,170.0,A,,87850.0,0.0,0.0,4000.0,,,,,19106.0,CMX3,1001588411,,,39.9516005021941,-75.14585818275384
,VACANT LAND RESIDE < ACRE,6,,210.0,0.0,0.0,,,20.0,,,0,,0.0,,,,355.0,A,,21020.0,0.0,0.0,4357.0,,,,,19134.0,CMX2,1001118167,,,39.98292751112636,-75.11184354819466
,VACANT LAND RESIDE < ACRE,6,,160.0,0.0,0.0,,,13.0,,,0,,0.0,,,,,A,,88190.0,0.0,0.0,1920.0,,,,,19103.0,RSA5,1001635426,,,39.95816273278261,-75.17462175522317
,PKG LOT NON COMMERCIAL,6,,120.0,0.0,0.0,,,42.0,,,0,,0.0,,,,312.0,E,,15460.0,0.0,0.0,5040.0,,,I,,19147.0,CMX2,1001078334,,,39.94160310431378,-75.15444351725843
,VACANT LAND RESIDE < ACRE,6,,5.0,0.0,0.0,,,11.0,,,0,,0.0,,,,669.0,E,,27980.0,0.0,0.0,60.0,,,,,19106.0,RSA5,1001174159,,,39.94423003522761,-75.15053042469776
,VACANT LAND RESIDE < ACRE,6,,100.0,0.0,0.0,,,20.0,,,0,,0.0,,,,1798.0,E,,70780.0,0.0,0.0,2000.0,,,,,19134.0,ICMX,1001470627,,,39.984940347726415,-75.09881942859693
,VACANT LAND RESIDE < ACRE,6,,144.0,0.0,0.0,,,26.0,,,0,,0.0,,,,593.0,B,,35220.0,0.0,0.0,6841.0,,,,,19106.0,CMX3,1001230310,,,39.947083882919294,-75.14315083383647
,VACANT LAND RESIDE < ACRE,6,,0.0,0.0,0.0,,,1.0,,,0,,0.0,,,,890.0,B,,87890.0,0.0,0.0,17662.0,,,,,19123.0,RSA5,1001593860,,,39.96295215362117,-75.14724033923812
,VACANT LAND RESIDE < ACRE,6,,85.0,0.0,0.0,,,24.0,,,0,,0.0,,,,890.0,A,,12440.0,0.0,0.0,2245.0,,,,,19123.0,,1001063964,,,39.96397558404209,-75.1417650006539
,VACANT LAND RESIDE < ACRE,6,,36.0,0.0,0.0,,,27.0,,,0,,0.0,,,,593.0,A,,38420.0,0.0,0.0,922.0,,,,,19123.0,ICMX,1001253011,,,39.96202240397875,-75.14501142367591
,VACANT LAND RESIDE < ACRE,6,,154.0,0.0,0.0,,,69.0,,,0,,0.0,,,,890.0,A,,12440.0,0.0,0.0,16445.0,,,,,19123.0,CMX3,1001063980,,,39.96443692867149,-75.14211676239672
,VACANT LAND RESIDE < ACRE,6,,57.0,0.0,0.0,,,19.0,,,0,,0.0,,,,922.0,E,,62820.0,0.0,0.0,1084.0,,,,,19125.0,CMX2,1001409668,,,39.9701852978893,-75.12865671961991
,VACANT LAND RESIDE < ACRE,6,,61.0,0.0,0.0,,,13.0,,,0,,0.0,,,,181.0,B,,88120.0,0.0,0.0,4194.0,,,,,19146.0,RM1,1001626669,,,39.93908922836259,-75.17119440272533
,PKG LOT NON COMMERCIAL,6,,92.0,0.0,0.0,,,31.0,,,0,,0.0,,,,2508.0,A,,63160.0,0.0,0.0,5298.0,,,,,19130.0,CMX2,1001412416,,,39.97218561836315,-75.18323673621515
,VACANT LAND RESIDE < ACRE,6,,84.0,0.0,0.0,,,27.0,,,0,,0.0,,,,87.0,E,,87830.0,0.0,0.0,2278.0,,,,,19106.0,CMX3,1001585022,,,39.9533530960092,-75.14268963248483
,VACANT LAND RESIDE < ACRE,6,,109.0,0.0,0.0,,,24.0,,,0,,0.0,,,,437.0,A,,66440.0,0.0,0.0,2608.0,,,,,19106.0,CMX3,1001436649,,,39.95326923875124,-75.1422859805347
,VACANT LAND RESIDE < ACRE,6,,69.0,0.0,0.0,,,50.0,,,0,,0.0,,,,377.0,A,,33280.0,0.0,0.0,4526.0,,,,,19123.0,ICMX,1001206446,,,39.96267918822164,-75.14558649490823
,VACANT LAND RESIDE < ACRE,6,,57.0,0.0,0.0,,,42.0,,,0,,0.0,,,,261.0,B,,49380.0,0.0,0.0,1466.0,,,,,19123.0,RM1,1001315905,,,39.96513820778983,-75.14097395038962
